No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,852,1,0.002843,5.00E-06,2001A&A...370..765V,NGC 3972,,,,,,,,,,,,,,,,,
1,,852,1,0.002843,5.00E-06,2001A&A...370..765V,NGC 3972,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,855,4,0.002852,1.30E-05,2012MNRAS.426..296D,2MASX J11554511+5519144,115545.11,551914.29,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,,855,5,0.002853,1.60E-05,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,21-cm,1128,6,0.003763,1.90E-05,2005ApJS..160..149S,UGC 06904,115545.2,551914,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Fair.  Green Bank 42-m data.
5,21-cm HI line,842,7,0.002809,2.30E-05,1991RC3.9.C...0000d,UGC 06904,115310,553548,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
6,Optical features,853,23,0.002844,7.60E-05,2004SDSS3.C...0000:,SDSS J115545.09+551914.7,178.937881,55.32074,J2000,uncertainty,Optical,Fiber-optic feed,Absorption lines,Cross-correlation fit to template spectrum,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
7,,727,26,0.002423,8.60E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,Optical,826,43,0.002755,1.43E-04,2000UZC...C......0F,UZC J115545.2+551913,115545.2,551913,J2000,uncertainty,Optical,,Both absorption and emission lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
9,Optical lines,609,63,0.002031,2.10E-04,1991RC3.9.C...0000d,UGC 06904,115310,553548,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
10,Optical,609,100,0.002031,3.34E-04,1992CORV..C...0000F,NGC 3972,115310,553548,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1979AJ.....84.1811d
11,Optical features,30000,,0.519896,8.31E-04,2004SDSS3.C...0000:,SDSS J115545.09+551914.7,178.937881,55.32074,J2000,uncertainty,Optical,Fiber-optic feed,Emission lines,Individual line fitting,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
12,,842,,0.002809,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,845,,0.002819,,2016MNRAS.460..689R,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,845,,0.002819,,2008ApJ...676..184T,PGC 037466,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,846,,0.002822,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
