No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,708,2,0.002362,7.00E-06,2005ApJS..160..149S,NGC 4414,,,,,,,,,,,,,,,,,
1,21-cm,708,2,0.002362,7.00E-06,2005ApJS..160..149S,UGC 07539,122627,311321,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
2,,716,6,0.002388,2.00E-05,1996A&AS..115..407R,NGC 4414,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,,716,6,0.002388,2.00E-05,2018ApJ...865...36P,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,,711,7,0.002372,2.30E-05,2013MNRAS.428.1790W,HIJASS J1226+31,122623.23,311320.1,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,21-cm HI line,720,11,0.002402,3.70E-05,1991RC3.9.C...0000d,UGC 07539,122358.2,313005,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
6,,661,15,0.002204,4.90E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
7,,703,20,0.002345,6.70E-05,2003AJ....126.2152R,NGC 4414,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,Optical,705,20,0.002352,6.70E-05,2000UZC...C......0F,UZC J122626.9+311324,122626.9,311324,J2000,uncertainty,Optical,,Absorption lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
9,Optical lines,713,27,0.002378,9.00E-05,1991RC3.9.C...0000d,UGC 07539,122358.2,313005,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
10,Optical,730,35,0.002435,1.17E-04,1992CORV..C...0000F,NGC 4414,122358.2,313005,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1977Ap&SS..48..421W
11,Optical,715,100,0.002385,3.34E-04,1956AJ.....61...97H,NGC 4414,122400,3130,B1950,estimated error,Optical,Long-slit spectrum,Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
12,,714,192,0.002382,6.40E-04,2018ApJ...861...49H,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,536,,0.001788,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,708,,0.002362,,2013ApJ...771...88L,NGC 4414,122627.1032,311324.672,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,714,,0.002382,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,714,,0.002382,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,714,,0.002382,,2019AJ....157..194H,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,714,,0.002382,,2013AJ....146...86T,NGC 4414,122627,311324.2,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,716,,0.002388,,2011MNRAS.413..813C,NGC 4414,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,716,,0.002388,,2012A&A...544A..18V,NGC 4414,122627.1032,311324.672,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,716,,0.002388,,2013MNRAS.428.1790W,NGC 4414,122627.1,311324.7,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,716,,0.002388,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,716,,0.002388,,2019ApJ...872..134Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,716,,0.002388,,2022A&A...657A...9C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,716,,0.002388,,2022ApJ...932...74C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
26,,717,,0.00239,,2012A&A...544A..81H,SDSS J122627.12+311324.5,122627.12,311324.492,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
27,,717,,0.00239,,2014ApJS..210....9B,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
28,,718,,0.002395,,2008ApJ...676..184T,PGC 040692,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
29,Optical,720,,0.002402,,1992CORV..C...0000F,NGC 4414,122358.2,313005,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1987ApJ...318..161S
30,,733,,0.002445,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
31,,1218,,0.004063,,2014ApJS..210....9B,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,0.002413563,1.14E-04,,,,,,,,,,,,,,,,,,,
