No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,739,1,0.002465,3.00E-06,2011MNRAS.415.1188P,NGC 3319,,,,,,,,,,,,,,,,,
1,,739,1,0.002465,3.00E-06,2011MNRAS.415.1188P,NGC 3319,103909.5,414113,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,739,1,0.002465,4.00E-06,1998AJ....115...62H,NGC 3319,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,21-cm,739,1,0.002465,5.00E-06,2005ApJS..160..149S,UGC 05789,103909.5,414111,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
4,21-cm HI line,742,4,0.002475,1.30E-05,1991RC3.9.C...0000d,UGC 05789,103615.2,415656,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
5,,714,5,0.002381,1.70E-05,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
6,Optical lines,771,10,0.002572,3.30E-05,1991RC3.9.C...0000d,UGC 05789,103615.2,415656,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
7,,689,17,0.0023,5.70E-05,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,,720,20,0.0024,6.60E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
9,,700,20,0.002334,6.70E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,Optical features,762,26,0.002543,8.60E-05,2005SDSS4.C...0000:,SDSS J103909.46+414112.0,159.789413,41.686672,J2000,uncertainty,Optical,Fiber-optic feed,Absorption lines,Cross-correlation fit to template spectrum,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
11,Optical,848,58,0.002829,1.93E-04,2000UZC...C......0F,UZC J103909.5+414114,103909.5,414114,J2000,uncertainty,Optical,,Absorption lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
12,Optical,826,65,0.002755,2.17E-04,1956AJ.....61...97H,NGC 3319,103614,4156.8,B1950,average deviation,Optical,Long-slit spectrum,9 Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
13,Optical features,30000,,1.59415,0.006934,2005SDSS4.C...0000:,SDSS J103909.46+414112.0,159.789413,41.686672,J2000,uncertainty,Optical,Fiber-optic feed,Emission lines,Individual line fitting,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
14,,713,,0.002378,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,713,,0.002378,,2019ApJ...872..134Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,720,,0.0024,,2018ApJ...862....2F,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,738,,0.002462,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,739,,0.002465,,2007AJ....134.1046H,NGC 3319,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,739,,0.002465,,2013AJ....146...86T,UGC 05789,103909.5,414112.5,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,739,,0.002465,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,739,,0.002465,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,739,,0.002465,,2022ApJ...932...74C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,740,,0.002468,,2008ApJ...676..184T,PGC 031671,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,742,,0.002475,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,Optical,749,,0.002498,,1992CORV..C...0000F,NGC 3319,103615.2,415656,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1977ApJ...216..694H
26,,749,,0.0025,,2016ApJS..224...38A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
27,,749,,0.0025,,2018ApJ...863...28A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
28,Optical,790,,0.002635,,1992CORV..C...0000F,NGC 3319,103615.2,415656,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1975CNRSC.241..439C
,,,,0.057366138,5.50E-04,,,,,,,,,,,,,,,,,,,
