No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1638,1,0.005464,5.0E-6,2005ApJS..160..149S,NGC 5584,,,,,,,,,,,,,,,,,
1,21-cm,1638,1,0.005464,5.0E-6,2005ApJS..160..149S,UGC 09201,142223.8,-002318,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 91-m data.
2,,1656,3,0.005524,1.0E-5,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,,1655,3,0.005520,1.0E-5,2016A&A...595A.118V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,,1654,3,0.005516,1.1E-5,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,,1638,4,0.005464,1.3E-5,2004AJ....128...16K,NGC 5584,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
6,21-cm HI line,1640,4,0.005470,1.3E-5,1991RC3.9.C...0000d,UGC 09201,141949.9,-000934,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
7,21-cm,1638,5,0.005464,1.8E-5,2006HIPAS.C...0000:,HIPASS J1422-00,142226.3,-002312,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
8,,1641,15,0.005474,5.0E-5,2000UZC...C......0F,UZC J142223.7-002310,142223.7,-002310.,J2000,uncertainty,Optical,,,,Redshift is systemic,,Heliocentric velocity or redshift,,,,,Homogenized from previously published data,
9,Optical,1498,22,0.004997,7.3E-5,1992CORV..C...0000F,NGC 5584,141949.9,-000934.,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1979Afz....15..589K
10,Optical features,1628,36,0.005432,1.19E-4,2004SDSS2.C...0000:,SDSS J142223.77-002315.6,215.599030,-0.387669,J2000,uncertainty,Optical,Fiber-optic feed,Absorption lines,Cross-correlation fit to template spectrum,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
11,Optical,1651,36,0.005507,1.2E-4,1992CORV..C...0000F,NGC 5584,141949.9,-000934.,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1976AJ.....81..219d
12,Optical lines,1602,43,0.005344,1.43E-4,1991RC3.9.C...0000d,UGC 09201,141949.9,-000934,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
13,Optical features,1582,69,0.005276,2.31E-4,2004SDSS2.C...0000:,SDSS J142223.77-002315.6,215.599030,-0.387669,J2000,uncertainty,Optical,Fiber-optic feed,Emission lines,Individual line fitting,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
14,,1499,,0.005000,,2022MNRAS.517..962D,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,1635,,0.005454,,2011A&A...527A..90P,NGC 5584,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,1636,,0.005458,,2018ApJ...864...40P,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,1637,,0.005460,,2013AJ....146...86T,NGC 5584,142223.8,-002315.3,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,1637,,0.005460,,2014MNRAS.444..527S,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,1637,,0.005460,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,1637,,0.005460,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,1638,,0.005464,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,1638,,0.005464,,2022ApJ...932...74C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,1638,,0.005464,,2011MNRAS.413..813C,NGC 5584,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,1638,,0.005464,,2012MNRAS.423.3274D,NGC 5584,142223.8,-002316.,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,1638,,0.005464,,2013ApJ...771...88L,NGC 5584,142223.8001,-002314.974,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
