No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1808,1,0.006031,3.00E-06,1998ApJS..119..277G,NGC 4536,,,,,,,,,,,,,,,,,
1,,1808,1,0.006031,3.00E-06,1998ApJS..119..277G,NGC 4536,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,1808,1,0.006031,3.00E-06,2000UZC...C......0F,UZC J123427.2+021117,123427.2,21117,J2000,uncertainty,Optical,,,,Redshift is systemic,,Heliocentric velocity or redshift,,,,,Homogenized from previously published data,
3,,1799,3,0.006001,1.00E-05,2000A&A...361...19S,NGC 4536,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,,1802,3,0.006011,1.00E-05,2012A&A...540A.116R,NGC 4536,123427,21117,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,21-cm HI line,1804,3,0.006017,1.00E-05,1991RC3.9.C...0000d,UGC 07732,123153.6,22750,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
6,21-cm,1805,5,0.006021,1.70E-05,2006HIPAS.C...0000:,HIPASS J1234+02b,123429.1,21314,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
7,,1927,10,0.006428,3.30E-05,1979ApJS...40..527P,NGC 4536,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,,1742,15,0.005812,4.90E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
9,,1809,20,0.006034,6.70E-05,1985AJ.....90.1681B,VCC 1562,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,Optical lines,1894,58,0.006318,1.93E-04,1991RC3.9.C...0000d,UGC 07732,123153.6,22750,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
11,Optical,1927,89,0.006428,2.97E-04,1956AJ.....61...97H,NGC 4536,123154,227.7,B1950,average deviation,Optical,Long-slit spectrum,5 Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
