No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,660,0,0.002202,1.00E-06,2010MNRAS.404.1733S,NGC 3198,,,,,,,,,,,,,,,,,
1,,660,0,0.002202,1.00E-06,2010MNRAS.404.1733S,NGC 3198,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,21-cm,660,1,0.002202,2.00E-06,2005ApJS..160..149S,UGC 05572,101954.7,453259,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
3,,667,4,0.002226,1.20E-05,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,21-cm HI line,663,4,0.002212,1.30E-05,1991RC3.9.C...0000d,UGC 05572,101651.8,454814,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
5,,663,4,0.002212,1.30E-05,2011MNRAS.415.1188P,NGC 3198,101954.9,453259,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
6,Optical features,675,9,0.002251,3.10E-05,2004SDSS3.C...0000:,SDSS J101954.92+453259.1,154.978851,45.54974,J2000,uncertainty,Optical,Fiber-optic feed,Emission lines,Individual line fitting,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
7,Optical lines,667,14,0.002225,4.70E-05,1991RC3.9.C...0000d,UGC 05572,101651.8,454814,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
8,Optical features,684,22,0.002283,7.40E-05,2004SDSS3.C...0000:,SDSS J101954.92+453259.1,154.978851,45.54974,J2000,uncertainty,Optical,Fiber-optic feed,Absorption lines,Cross-correlation fit to template spectrum,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
9,Optical,680,58,0.002268,1.93E-04,2000UZC...C......0F,UZC J101954.9+453300,101954.9,453300,J2000,uncertainty,Optical,,Both absorption and emission lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
10,Optical,649,109,0.002165,3.64E-04,1956AJ.....61...97H,NGC 3198,101652,4548,B1950,average deviation,Optical,Long-slit spectrum,5 Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
11,,657,,0.002192,,2019A&A...622A..64B,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,659,,0.002198,,2014ApJS..212...18B,NGC 3198,101954.9,453258,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,660,,0.0022,,2017ApJ...837..120G,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,660,,0.002202,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,660,,0.002202,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,660,,0.002202,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,660,,0.002202,,2013AJ....146...86T,NGC 3198,101954.9,453259,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,660,,0.002202,,2015A&A...580A.131T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,660,,0.002202,,2016ApJS..226...19F,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,661,,0.002204,,2013MNRAS.430..450L,NGC 3198,101955,453259,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,662,,0.002208,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,662,,0.002208,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,663,,0.002212,,2022ApJ...932...74C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,663,,0.002212,,2008ApJ...676..184T,PGC 030197,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,663,,0.002212,,2011MNRAS.413..813C,NGC 3198,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
26,,663,,0.002212,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
27,,666,,0.002222,,2012MNRAS.424.3050W,NGC 3198,101955,453259,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
