No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,461,0,0.001538,1.00E-06,2018ApJ...863..149P,NGC 4258,,,,,,,,,,,,,,,,,
1,,461,0,0.001538,1.00E-06,2018ApJ...863..149P,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,21-cm HI line,448,3,0.001494,1.00E-05,1991RC3.9.C...0000d,UGC 07353,121629.7,473455,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
3,,448,3,0.001494,1.00E-05,2015ApJ...810...65P,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,,454,6,0.001515,1.90E-05,2018ApJ...863..149P,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,Optical,472,9,0.001574,3.00E-05,1992CORV..C...0000F,NGC 4258,121629.7,473455,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1967AJ.....72..730d
6,Optical,490,9,0.001634,3.00E-05,1992CORV..C...0000F,NGC 4258,121629.7,473455,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1965POHP....8...16D
7,,451,10,0.001504,3.30E-05,2014ApJ...788..146S,NGC 4258,121857.6,471814.4,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,Optical,467,10,0.001558,3.30E-05,1992CORV..C...0000F,NGC 4258,121629.7,473455,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1974ApJ...192....1v
9,Optical lines,480,13,0.001601,4.30E-05,1991RC3.9.C...0000d,UGC 07353,121629.7,473455,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
