No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,513,2,0.001711,7.00E-06,2014MNRAS.440..696A,NGC 5236,,,,,,,,,,,,,,,,,
1,,513,2,0.001711,7.00E-06,2004AJ....128...16K,NGC 5236,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,513,2,0.001711,7.00E-06,2014MNRAS.440..696A,Messier 083,133700.92,-295156.7,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,,515,3,0.001718,1.00E-05,2003MNRAS.339..652K,FLASH J133700.23-295204.5,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,21-cm HI line,516,4,0.001721,1.30E-05,1991RC3.9.C...0000d,ESO 444- G 081,133411,-293648,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
5,21-cm,514,5,0.001713,1.70E-05,2006HIPAS.C...0000:,HIPASS J1337-29,133701.2,-295404,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",Extended source
6,Optical lines,503,11,0.001678,3.70E-05,1991RC3.9.C...0000d,ESO 444- G 081,133411,-293648,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
7,Optical,497,18,0.001658,6.00E-05,1992CORV..C...0000F,NGC 5236,133411,-293648,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1967AJ.....72..730d
8,Optical,445,20,0.001484,6.70E-05,1992CORV..C...0000F,NGC 5236,133411,-293648,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1978KodOB...2..105P
9,Optical,488,27,0.001628,9.00E-05,1992AJ....103...11F,NGC 5236,133411,-293648,B1950,uncertainty,Optical,Long-slit spectrum,,Cross-correlation fit to template spectrum,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
