No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,486,4,0.001621,1.30E-05,1991RC3.9.C...0000d,NGC 4548,,,,,,,,,,,,,,,,,
1,21-cm HI line,486,4,0.001621,1.30E-05,1991RC3.9.C...0000d,UGC 07753,123255.1,144620,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
2,21-cm,485,8,0.001618,2.80E-05,2006HIPAS.C...0000:,HIPASS J1235+14,123503.8,143310,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
3,,425,14,0.001419,4.70E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,,486,34,0.001621,1.13E-04,1985AJ.....90.1681B,VCC 1615,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,Optical lines,498,37,0.001661,1.23E-04,1991RC3.9.C...0000d,UGC 07753,123255.1,144620,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
6,Optical,556,39,0.001855,1.30E-04,2000UZC...C......0F,UZC J123526.5+142948,123526.5,142948,J2000,uncertainty,Optical,,Absorption lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
7,Optical,433,50,0.001444,1.67E-04,1956AJ.....61...97H,NGC 4548,123254,1446,B1950,estimated error,Optical,Long-slit spectrum,Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
8,,479,117,0.001598,3.90E-04,2011AJ....142..170H,UGC 07753,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
9,,479,117,0.001598,3.90E-04,2018ApJ...861...49H,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,,479,,0.001598,,2019AJ....157..194H,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
11,,479,,0.001598,,2007AJ....133.2569G,UGC 07753,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,481,,0.001604,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,481,,0.001604,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,484,,0.001614,,2014A&A...564A..65B,[BEC2010] HRS 208,123526.43,142946.8,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,486,,0.00162,,2011A&A...534A..31G,MESSIER 091,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,486,,0.00162,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,486,,0.001621,,2008AJ....135.1837R,MESSIER 091,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,486,,0.001621,,2011MNRAS.413..813C,MESSIER 091,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,486,,0.001621,,2013A&A...558A..68G,VCC 1615,123526.4,142946,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,486,,0.001621,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,486,,0.001621,,2018ApJ...856..126C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,486,,0.001621,,2019ApJ...872..134Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,488,,0.001628,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,488,,0.001628,,2013AJ....146...86T,NGC 4548,123526.4,142945.6,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,498,,0.001661,,2021ApJS..257...21B,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
26,,498,,0.001661,,2022ApJ...933...10Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
27,Optical,550,,0.001835,,1992CORV..C...0000F,NGC 4548,123255.1,144620,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1983ApJS...52...89H
,,,,0.001623321,1.41E-04,,,,,,,,,,,,,,,,,,,
