No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,547,5,0.001825,1.70E-05,1992CORV..C...0000F,NGC 5128,,,,,,,,,,,,,,,,,
1,,547,0,0.001825,0,2007AJ....133.1756S,NGC 5128,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,Optical,547,5,0.001825,1.70E-05,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1978PASP...90..237G
3,,547,5,0.001825,1.70E-05,1978PASP...90..237G,NGC 5128,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,21-cm HI line,562,6,0.001875,2.00E-05,1991RC3.9.C...0000d,ESO 270-IG 009,132233,-424524,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
5,,556,10,0.001855,3.30E-05,2004AJ....128...16K,NGC 5128,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
6,,556,10,0.001855,3.30E-05,2015MNRAS.451.3192J,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
7,Optical lines,538,17,0.001795,5.70E-05,1991RC3.9.C...0000d,ESO 270-IG 009,132233,-424524,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
8,Optical,559,24,0.001865,8.00E-05,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1980A&A....81...54A
9,Optical,462,25,0.001541,8.30E-05,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1969Nat...224..253S
10,Optical,468,40,0.001561,1.33E-04,1956AJ.....61...97H,NGC 5128,132232,-4245.5,B1950,estimated error,Optical,Long-slit spectrum,Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
11,Optical,465,50,0.001551,1.67E-04,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1969IBSoH..14...32S
12,Optical,470,50,0.001568,1.67E-04,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1962Nat...194..367B
13,Optical,434,75,0.001448,2.50E-04,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1961MNSSA..20...64E
14,,300,,0.001,,2016MNRAS.463.3531G,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,300,,0.001,,2018ApJS..235....4O,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,420,,0.0014,,2022ApJS..261....4O,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,Optical,492,,0.001641,,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1971ApJ...170L...7K
18,,540,,0.0018,,2007A&A...462...57S,CENTAURUS A,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,540,,0.0018,,2008PASP..120..266W,NGC 5128,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,540,,0.0018,,2012MNRAS.420.2087D,Centaurus A,132527.62,-430108.8,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,540,,0.0018,,2012MNRAS.426.1750M,CENTAURUS A,132527.61,-430108.8,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,540,,0.0018,,2013A&A...558A.149B,Centaurus A,132526.6,-430109,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,540,,0.0018,,2013ApJS..207...19B,Cen A,132527.624,-430108.76,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,540,,0.0018,,2013ApJS..207...36H,Cen A,132527.6,-430108.4,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,540,,0.0018,,2016MNRAS.456.3335S,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
26,,540,,0.0018,,2017ApJS..232...11T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
27,,540,,0.0018,,2017ApJS..233...17R,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
28,,540,,0.0018,,2017MNRAS.471.3806K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
29,,540,,0.0018,,2018ApJS..237...32A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
30,,540,,0.0018,,2018ApJS..238...32K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
31,,540,,0.0018,,2019A&A...627A.148A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
32,,540,,0.0018,,2022ApJS..263...17G,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
33,Optical,540,,0.001801,,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1979ApJ...232...60G
34,,547,,0.001825,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
35,,547,,0.001825,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
36,,547,,0.001825,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
37,,547,,0.001825,,2019ApJ...872..134Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
38,,547,,0.001825,,2012A&A...544A..18V,Cen A,132527.756,-430107.356,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
39,,547,,0.001825,,2012MNRAS.422.1384F,NGC 5128,132528,-430109,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
40,,547,,0.001825,,2016ApJS..226...19F,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
41,,547,,0.001826,,2016A&A...586A..45S,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
42,,549,,0.00183,,2010A&A...510A..48C,Cen A,132528.1873,-430109.735,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
43,,549,,0.00183,,2013A&A...554A..75S,Centaurus A,132527.6,-430109,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
44,,549,,0.00183,,2015MNRAS.448.3766K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
45,,549,,0.00183,,2018AJ....155...17C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
46,,549,,0.00183,,2022ApJ...926...55S,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
47,,549,,0.00183,,2022ApJS..259...37S,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
48,,549,,0.00183,,2022ApJS..259...37S,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
49,,549,,0.00183,,2023ApJS..265...60C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
50,,552,,0.001841,,2013AJ....146...86T,NGC 5128,132528.1,-430105.2,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
51,,552,,0.001841,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
52,,552,,0.001841,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
53,,556,,0.001855,,2013AJ....145..101K,NGC 5128,132528.9,-430100,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
54,,562,,0.001875,,2014ApJ...795..117F,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
55,,563,,0.001877,,2022ApJS..261....2K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
56,,600,,0.002,,2011MNRAS.414..500H,NGC 5128,132527.6,-430109,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
57,,600,,0.002,,2011MNRAS.417.2651M,[MSC2011] J132527.80-430112.9,132527.8,-430112.9,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
