No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
58,,600,,0.002,,2012MNRAS.427..816H,NGC 5128,132527.6,-430109,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
59,,600,,0.002,,2013MNRAS.430.1566L,BZU J1325-4301,132527.6,-430108.76,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
60,,600,,0.002,,2015ApJS..217....2M,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
61,,600,,0.002,,2017MNRAS.466.3353R,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
62,,600,,0.002,,2022A&A...664A..46A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
63,,600,,0.002,,2022MNRAS.510.4796K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
64,,600,,0.002,,2023ApJS..265....8R,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
65,Optical,605,,0.002018,,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1959ApJ...129..271B
66,Optical,630,,0.002101,,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1962Nat...194..367B
67,Optical,677,,0.002258,,1992CORV..C...0000F,NGC 5128,132233,-424524,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1967Obs....87...38C
68,,5396,,0.018,,2017ApJ...850...33K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
69,,5471,,0.01825,,2015A&A...580L...8D,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,0.0022722,7.67E-05,,,,,,,,,,,,,,,,,,,
