No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1535,3,0.00512,9.00E-06,2005ApJS..160..149S,NGC 3021,,,,,,,,,,,,,,,,,
1,21-cm,1535,3,0.00512,9.00E-06,2005ApJS..160..149S,UGC 05280,95057.4,333314,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Arecibo data.
2,,1540,3,0.005137,1.00E-05,2013MNRAS.428..476M,NGC 3021,95057.156,333312.276,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,21-cm HI line,1541,4,0.00514,1.30E-05,1991RC3.9.C...0000d,UGC 05280,94759.5,334720,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
4,,1603,18,0.005347,6.00E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,,1541,20,0.00514,6.70E-05,1979ApJS...40..527P,NGC 3021,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
6,Optical,1529,32,0.0051,1.07E-04,1992CORV..C...0000F,NGC 3021,94759.5,334720,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1967AJ.....72..730d
7,Optical lines,1506,40,0.005023,1.33E-04,1991RC3.9.C...0000d,UGC 05280,94759.5,334720,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
8,Optical,1514,62,0.00505,2.07E-04,2000UZC...C......0F,UZC J095057.2+333315,95057.2,333315,J2000,uncertainty,Optical,,Both absorption and emission lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
9,Optical,1465,63,0.004887,2.10E-04,1992CORV..C...0000F,NGC 3021,94759.5,334720,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1978AJ.....83..904S
10,,1537,124,0.005127,4.14E-04,2018ApJ...861...49H,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
11,,1514,,0.00505,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,1535,,0.00512,,2013ApJ...771...88L,NGC 3021,95057.1289,333312.7,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,1537,,0.005127,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,1537,,0.005127,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,1537,,0.005127,,2019AJ....157..194H,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,1537,,0.005127,,2013AJ....146...86T,UGC 05280,95057.2,333312.3,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,1537,,0.005127,,2014MNRAS.444..527S,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,1538,,0.00513,,2012A&A...544A..81H,SDSS J095057.14+333313.0,95057.1392,333312.996,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,1538,,0.00513,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,1541,,0.00514,,2008ApJ...676..184T,PGC 028357,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,1541,,0.00514,,2011MNRAS.413..813C,NGC 3021,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,1541,,0.00514,,2016ApJ...818L..14D,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,1541,,0.00514,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,1541,,0.00514,,2019ApJ...872..134Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,1541,,0.00514,,2022A&A...657A...9C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
26,,1541,,0.00514,,2022ApJ...932...74C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,0.005119852,1.13E-04,,,,,,,,,,,,,,,,,,,
