No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1904,4,0.006352,1.20E-05,2016SDSSD.C...0000:,DDO 193,,,,,,,,,,,,,,,,,
1,,1904,4,0.006352,1.20E-05,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,1911,4,0.006373,1.20E-05,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,,1920,4,0.006406,1.30E-05,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,21-cm HI line,1914,4,0.006384,1.30E-05,1992ApJS...81....5S,UGC 09391,143313,593320,B1950,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
5,,1904,4,0.006351,1.30E-05,2016A&A...595A.118V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
6,Optical features,1892,7,0.006311,2.20E-05,2004SDSS2.C...0000:,SDSS J143437.02+592016.1,218.654251,59.337814,J2000,uncertainty,Optical,Fiber-optic feed,Emission lines,Individual line fitting,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
7,21-cm HI line,1921,11,0.006408,3.70E-05,1991RC3.9.C...0000d,UGC 09391,1433.2,5933,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
8,Optical,1912,25,0.006378,8.30E-05,2000UZC...C......0F,UZC J143436.9+592018,143436.9,592018,J2000,uncertainty,Optical,,Emission lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
9,Optical features,1968,73,0.006565,2.45E-04,2004SDSS2.C...0000:,SDSS J143437.02+592016.1,218.654251,59.337814,J2000,uncertainty,Optical,Fiber-optic feed,Absorption lines,Cross-correlation fit to template spectrum,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
10,,1799,,0.006,,2022ApJ...925..115H,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
11,,1904,,0.00635,,2012A&A...544A..81H,SDSS J143437.01+592016.1,143437.0104,592016.116,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,1906,,0.006358,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,1906,,0.006358,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,1906,,0.006358,,2013AJ....146...86T,UGC 09391,143437,592017.4,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,1911,,0.006374,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,1914,,0.006384,,2016ApJ...818L..14D,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,1914,,0.006384,,2018MNRAS.478.4657P,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,1918,,0.006398,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,1919,,0.0064,,2017ApJ...837..120G,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,1919,,0.0064,,2022ApJ...936..104W,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,1921,,0.006408,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,0.006366000,0.000046200,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
