No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,722,2,0.002408,7.00E-06,2005ApJS..160..149S,NGC 3627,,,,,,,,,,,,,,,,,
1,,721,2,0.002405,7.00E-06,2013MNRAS.428..476M,NGC 3627,112015,125927.564,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,21-cm,722,2,0.002408,7.00E-06,2005ApJS..160..149S,UGC 06346,112015,125921,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
3,21-cm HI line,727,3,0.002425,1.00E-05,1991RC3.9.C...0000d,UGC 06346,111738.5,131555,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
4,,727,3,0.002425,1.00E-05,2014MNRAS.440..696A,NGC 3627,112015.03,125928.6,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,21-cm,719,5,0.002399,1.80E-05,2006HIPAS.C...0000:,HIPASS J1120+13a,112013.6,130010,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",Confused source
6,,696,13,0.002323,4.20E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
7,Optical,778,20,0.002595,6.70E-05,1992CORV..C...0000F,NGC 3627,111737.9,131608,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1978AJ.....83..904S
8,Optical lines,703,27,0.002345,9.00E-05,1991RC3.9.C...0000d,UGC 06346,111738.5,131555,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
9,Optical,638,36,0.002128,1.20E-04,1992CORV..C...0000F,NGC 3627,111737.9,131608,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1962AJ.....67..363M
