No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1964,1,0.006551,2.00E-06,2008AJ....136..713K,NGC 4535,,,,,,,,,,,,,,,,,
1,,1964,1,0.006551,2.00E-06,2008AJ....136..713K,NGC 4535,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,21-cm HI line,1957,3,0.006528,1.00E-05,1991RC3.9.C...0000d,UGC 07727,123147.9,82825,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
3,,1962,3,0.006545,1.00E-05,1998ApJS..119..277G,NGC 4535,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,21-cm,1961,5,0.006542,1.70E-05,2006HIPAS.C...0000:,HIPASS J1234+08,123419.6,81145,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
5,Optical,1949,13,0.006501,4.30E-05,2000UZC...C......0F,UZC J123420.3+081153,123420.3,81153,J2000,uncertainty,Optical,,Emission lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
6,Optical,1930,20,0.006438,6.70E-05,1956AJ.....61...97H,NGC 4535,123148,828.6,B1950,estimated error,Optical,Long-slit spectrum,Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
7,,1961,31,0.006541,1.03E-04,1985AJ.....90.1681B,VCC 1555,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,Optical lines,1973,34,0.006581,1.13E-04,1991RC3.9.C...0000d,UGC 07727,123147.9,82825,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
9,Optical,2097,60,0.006995,2.01E-04,1956AJ.....61...97H,NGC 4535,123148,828.6,B1950,average deviation,Optical,Long-slit spectrum,5 Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
