No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
10,,1963,135,0.006548,4.50E-04,2011AJ....142..170H,UGC 07727,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
11,,1963,135,0.006548,4.50E-04,2018ApJ...861...49H,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,Optical,1920,,0.006404,,1992CORV..C...0000F,NGC 4535,123147.9,82825,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1970ApJ...159..405W
13,,1957,,0.006528,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,1958,,0.006531,,2008ApJ...676..184T,PGC 041812,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,1960,,0.006537,,2014ApJS..215...22K,VCC 1555,123420.256,81153.52,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,1960,,0.006538,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,1960,,0.006538,,2013AJ....146...86T,NGC 4535,123420.3,81151.9,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,1962,,0.006545,,2016MNRAS.459.1646C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,1962,,0.006545,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,1962,,0.006545,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,1962,,0.006545,,2013A&A...550A.114B,[BEC2010] HRS 204,123420.3,81151.9,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,1962,,0.006545,,2014A&A...564A..65B,[BEC2010] HRS 204,123420.31,81151.9,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,1963,,0.006548,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,1963,,0.006548,,2019AJ....157..194H,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,1964,,0.00655,,2011A&A...534A..31G,NGC 4535,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
26,,1964,,0.006551,,2011MNRAS.413..813C,NGC 4535,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
27,,1964,,0.006551,,2012MNRAS.419.3505D,NGC 4535,123420.1,81153.5,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
28,,1964,,0.006551,,2013A&A...558A..68G,VCC 1555,123420.3,81151,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
29,,1964,,0.006551,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
30,,1964,,0.006551,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
31,,1964,,0.006551,,2019ApJ...872..134Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
32,,1964,,0.006551,,2022ApJ...932...74C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
33,,1973,,0.006581,,2021ApJS..257...21B,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
34,,1973,,0.006581,,2022ApJ...933...10Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
35,,2099,,0.007,,2013PASJ...65..113T,NGC 4535,123420.39,81152.7,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,0.006564861,1.22E-04,,,,,,,,,,,,,,,,,,,
