No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,717,1,0.002392,4.00E-06,1998AJ....115...62H,NGC 1637,,,,,,,,,,,,,,,,,
1,,717,1,0.002392,4.00E-06,1998AJ....115...62H,NGC 1637,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,21-cm,717,1,0.002392,5.00E-06,2005ApJS..160..149S,AGC 440323,44128,-25129,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
3,,717,2,0.002392,7.00E-06,2004AJ....128...16K,NGC 1637,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,,716,4,0.002388,1.30E-05,2000UZC...C......0F,UZC J044128.1-025130,44128.1,-25130,J2000,uncertainty,Optical,,,,Redshift is systemic,,Heliocentric velocity or redshift,,,,,Homogenized from previously published data,
5,21-cm HI line,717,4,0.002392,1.30E-05,1991RC3.9.C...0000d,MCG +00-12-068,43857.7,-25712,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
6,21-cm,716,5,0.002389,1.70E-05,2006HIPAS.C...0000:,HIPASS J0441-02,44125.8,-25044,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",Extended source
7,Optical,528,10,0.001761,3.30E-05,1956AJ.....61...97H,NGC 1637,43858,-257.1,B1950,average deviation,Optical,Long-slit spectrum,2 Absorption lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
8,,686,15,0.00229,5.00E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
9,Optical,716,25,0.002388,8.30E-05,1992CORV..C...0000F,NGC 1637,43857.6,-25712,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1971AJ.....76...22F
10,Optical lines,710,31,0.002368,1.03E-04,1991RC3.9.C...0000d,MCG +00-12-068,43857.7,-25712,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
11,Optical,820,45,0.002735,1.50E-04,20096dF...C...0000J,6dF J0441282-025129,44128.19,-25128.5,J2000,uncertainty,Optical,Fiber-optic feed,Both absorption and emission lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
