No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,553,1,0.001845,2.00E-06,2005ApJS..160..149S,NGC 0925,,,,,,,,,,,,,,,,,
1,21-cm,553,1,0.001845,2.00E-06,2005ApJS..160..149S,UGC 01913,22716.7,333445,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
2,,553,2,0.001845,7.00E-06,2000UZC...C......0F,UZC J022717.0+333443,22717,333443,J2000,uncertainty,Optical,,,,Redshift is systemic,,Heliocentric velocity or redshift,,,,,Homogenized from previously published data,
3,,553,3,0.001845,1.00E-05,1999PASP..111..438F,NGC 0925,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,21-cm HI line,553,3,0.001845,1.00E-05,1991RC3.9.C...0000d,UGC 01913,22416.9,332115,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
5,Optical,553,3,0.001845,1.00E-05,1999ApJS..121..287H,NGC 0925,22416.6,332120,B1950,uncertainty,Optical,,,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
6,,553,3,0.001845,1.00E-05,2018ApJ...865...36P,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
7,Optical,546,15,0.001821,5.00E-05,1992CORV..C...0000F,NGC 0925,22416.8,332115,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1978AJ.....83..904S
8,Optical lines,562,17,0.001875,5.70E-05,1991RC3.9.C...0000d,UGC 01913,22416.9,332115,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
9,Optical,580,50,0.001935,1.67E-04,1992CORV..C...0000F,NGC 0925,22416.8,332115,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1964ApJ...140...94R
