No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1736,1,0.005791,3.00E-06,1998ApJS..119..277G,NGC 4527,,,,,,,,,,,,,,,,,
1,,1736,1,0.005791,3.00E-06,1998ApJS..119..277G,NGC 4527,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,1736,1,0.005791,3.00E-06,2000UZC...C......0F,UZC J123408.5+023910,123408.5,23910,J2000,uncertainty,Optical,,,,Redshift is systemic,,Heliocentric velocity or redshift,,,,,Homogenized from previously published data,
3,,1736,1,0.005791,3.00E-06,1992ApJS...83...29S,NGC 4527,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,21-cm HI line,1734,3,0.005784,1.00E-05,1991RC3.9.C...0000d,UGC 07721,123135.5,25545,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
5,21-cm,1736,5,0.00579,1.70E-05,2006HIPAS.C...0000:,HIPASS J1234+02a,123409.5,23932,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
6,,1730,10,0.005771,3.30E-05,1979ApJS...40..527P,NGC 4527,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
7,,1651,14,0.005505,4.70E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,,1738,20,0.005797,6.70E-05,1985AJ.....90.1681B,VCC 1540,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
9,Optical lines,1727,56,0.005761,1.87E-04,1991RC3.9.C...0000d,UGC 07721,123135.5,25545,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
