No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,779,1,0.002598,2.00E-06,2005ApJS..160..149S,NGC 3351,,,,,,,,,,,,,,,,,
1,21-cm,779,1,0.002598,2.00E-06,2005ApJS..160..149S,UGC 05850,104357.6,114212,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
2,,778,2,0.002595,7.00E-06,2013MNRAS.428..476M,NGC 3351,104357.684,114212.78,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,,778,2,0.002595,7.00E-06,2013MNRAS.433.1871B,NGC 3351,104357.67,114213,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,,756,3,0.002522,1.00E-05,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,21-cm HI line,778,4,0.002595,1.30E-05,1991RC3.9.C...0000d,UGC 05850,104119.7,115800,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
6,21-cm,781,5,0.002604,1.70E-05,2006HIPAS.C...0000:,HIPASS J1044+11,104401.6,114250,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
7,Optical,779,8,0.002598,2.70E-05,1992CORV..C...0000F,NGC 3351,104119.6,115800,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1975ApJ...199...39R
8,Optical,779,9,0.002598,3.00E-05,1992CORV..C...0000F,NGC 3351,104119.6,115800,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1976ApJ...208..662P
9,,713,13,0.002377,4.40E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,Optical lines,771,24,0.002572,8.00E-05,1991RC3.9.C...0000d,UGC 05850,104119.7,115800,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
11,Optical features,767,25,0.002557,8.20E-05,2005SDSS4.C...0000:,SDSS J104357.70+114213.7,160.990417,11.703802,J2000,uncertainty,Optical,Fiber-optic feed,Absorption lines,Cross-correlation fit to template spectrum,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
