No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,635,1,0.002118,2.00E-06,2005ApJS..160..149S,NGC 2841,,,,,,,,,,,,,,,,,
1,21-cm,635,1,0.002118,2.00E-06,2005ApJS..160..149S,UGC 04966,92202,505839,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
2,21-cm HI line,638,3,0.002128,1.00E-05,1991RC3.9.C...0000d,UGC 04966,91834.9,511119,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
3,,600,13,0.002,4.40E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,Optical lines,635,20,0.002118,6.70E-05,1991RC3.9.C...0000d,UGC 04966,91834.9,511119,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
5,Optical,740,37,0.002468,1.25E-04,1956AJ.....61...97H,NGC 2841,91835,5111.3,B1950,average deviation,Optical,Long-slit spectrum,5 Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
6,Optical,657,38,0.002192,1.27E-04,2000UZC...C......0F,UZC J092202.3+505845,92202.3,505845,J2000,uncertainty,Optical,,Absorption lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
7,Optical,584,40,0.001948,1.33E-04,1956AJ.....61...97H,NGC 2841,91835,5111.3,B1950,estimated error,Optical,Long-slit spectrum,Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
8,Optical,600,50,0.002001,1.67E-04,1992CORV..C...0000F,NGC 2841,91834.9,511119,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1925ApJ....61..353S
9,,570,,0.0019,,2022ApJS..263...17G,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,,600,,0.002,,2017ApJ...846..102M,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
11,,630,,0.0021,,2022A&A...660A.133H,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
