No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1281,3,0.004273,9.00E-06,2005ApJS..160..149S,NGC 3370,,,,,,,,,,,,,,,,,
1,21-cm,1281,3,0.004273,9.00E-06,2005ApJS..160..149S,UGC 05887,104704.1,171623,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Arecibo data.
2,,1279,4,0.004266,1.30E-05,1980AJ.....85.1312K,NGC 3370,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,,1281,4,0.004273,1.30E-05,2013MNRAS.428..476M,NGC 3370,104704.02,171625.284,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,21-cm HI line,1280,5,0.00427,1.70E-05,1991RC3.9.C...0000d,UGC 05887,104423.2,173216,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
5,21-cm,1282,6,0.004275,1.90E-05,2006HIPAS.C...0000:,HIPASS J1047+17,104707.6,171614,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
6,Optical,1301,42,0.00434,1.40E-04,2000UZC...C......0F,UZC J104704.0+171625,104704,171625,J2000,uncertainty,Optical,,Both absorption and emission lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
7,Optical lines,1367,58,0.00456,1.93E-04,1991RC3.9.C...0000d,UGC 05887,104423.2,173216,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
8,Optical,1400,98,0.00467,3.26E-04,1956AJ.....61...97H,NGC 3370,104430,1732,B1950,average deviation,Optical,Long-slit spectrum,5 Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
9,,1279,139,0.004266,4.64E-04,2018ApJ...861...49H,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,,1279,,0.004266,,2011MNRAS.413..813C,NGC 3370,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
11,,1279,,0.004266,,2016ApJ...818L..14D,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,1279,,0.004266,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,1279,,0.004266,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,1279,,0.004266,,2019AJ....157..194H,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,1279,,0.004266,,2019ApJ...872..134Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,1279,,0.004266,,2022ApJ...932...74C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,1280,,0.00427,,2012A&A...544A..81H,SDSS J104704.04+171625.0,104704.0392,171624.996,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,1280,,0.00427,,2014ApJS..210....9B,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,1281,,0.004273,,2015A&A...579A.102B,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,1281,,0.004273,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,1281,,0.004273,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,1281,,0.004273,,2008ApJ...676..184T,PGC 032207,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,1281,,0.004273,,2013A&A...550A.114B,[BEC2010] HRS 017,104704,171625,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,1281,,0.004273,,2013ApJ...771...88L,NGC 3370,104704.0538,171625.33,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,1281,,0.004273,,2014A&A...564A..65B,[BEC2010] HRS 017,104704.05,171625.3,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
26,,1283,,0.00428,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
27,,1283,,0.00428,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
28,,1283,,0.00428,,2013AJ....146...86T,UGC 05887,104704,171625.3,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
29,,1283,,0.00428,,2014MNRAS.444..527S,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
30,,1301,,0.00434,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
31,,3111,,0.010377,,2014ApJS..210....9B,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,0.004488,1.20E-04,,,,,,,,,,,,,,,,,,,
