No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,-38,3,-0.00013,9.00E-06,2012ApJ...752...52S,NGC 3031,,,,,,,,,,,,,,,,,
1,,-38,3,-0.00013,9.00E-06,2012ApJ...752...52S,NGC 3031,95533.5,690352,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,21-cm HI line,-33,4,-0.000113,1.30E-05,1991RC3.9.C...0000d,UGC 05318,95127.7,691813,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
3,,-39,5,-0.000133,1.70E-05,2000UZC...C......0F,UZC J095535.5+690352,95535.5,690352,J2000,uncertainty,Optical,,,,Redshift is systemic,,Heliocentric velocity or redshift,,,,,Homogenized from previously published data,
4,Optical lines,-48,10,-0.000163,3.30E-05,1991RC3.9.C...0000d,UGC 05318,95127.7,691813,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
5,Optical,-44,15,-0.00015,5.00E-05,1992CORV..C...0000F,NGC 3031,95127.6,691813,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1974ApJ...192..311G
6,Optical,-54,20,-0.000183,6.70E-05,1956AJ.....61...97H,NGC 3031,95127,6917.8,B1950,estimated error,Optical,Long-slit spectrum,Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
7,Optical,-127,28,-0.000427,9.30E-05,1992CORV..C...0000F,NGC 3031,95127.6,691813,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1967IAUS...30...91d
8,Optical,-51,30,-0.000173,1.00E-04,1992CORV..C...0000F,NGC 3031,95127.6,691813,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1976AJ.....81..595d
9,Optical,-63,48,-0.000213,1.59E-04,1956AJ.....61...97H,NGC 3031,95127,6917.8,B1950,average deviation,Optical,Long-slit spectrum,4 Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
