No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,888,1,0.002962,2.00E-06,2005ApJS..160..149S,NGC 3368,,,,,,,,,,,,,,,,,
1,21-cm,888,1,0.002962,2.00E-06,2005ApJS..160..149S,UGC 05882,104645.7,114911,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
2,,892,2,0.002975,7.00E-06,2013MNRAS.428..476M,NGC 3368,104645.696,114911.316,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,21-cm HI line,897,4,0.002992,1.30E-05,1991RC3.9.C...0000d,UGC 05882,104406.9,120505,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
4,21-cm,891,5,0.002971,1.70E-05,2006HIPAS.C...0000:,HIPASS J1046+11,104642.5,115007,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
5,,868,13,0.002894,4.20E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
6,Optical lines,943,33,0.003146,1.10E-04,1991RC3.9.C...0000d,UGC 05882,104406.9,120505,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
7,Optical,927,40,0.003092,1.33E-04,1956AJ.....61...97H,NGC 3368,104408,1205.1,B1950,estimated error,Optical,Long-slit spectrum,Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
8,Optical,855,45,0.002852,1.50E-04,2000UZC...C......0F,UZC J104645.9+114926,104645.9,114926,J2000,uncertainty,Optical,,Absorption lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
9,Optical,924,46,0.003082,1.53E-04,1992CORV..C...0000F,NGC 3368,104406.9,120505,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1962AJ.....67..363M
10,Optical,940,50,0.003136,1.67E-04,1992CORV..C...0000F,NGC 3368,104406.9,120505,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1925ApJ....61..353S
11,,893,171,0.002979,5.72E-04,2011AJ....142..170H,UGC 05882,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,893,172,0.002979,5.74E-04,2018ApJ...861...49H,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,888,,0.002962,,2013ApJ...771...88L,MESSIER 096,104645.7435,114911.784,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,890,,0.00297,,2012A&A...544A..81H,SDSS J104645.67+114911.8,104645.6696,114911.784,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,892,,0.002975,,2013AJ....146...86T,UGC 05882,104645.7,114911.3,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,892,,0.002975,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,892,,0.002975,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,892,,0.002975,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,893,,0.002979,,2019AJ....157..194H,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
