No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,-121,1,-0.000408,4.00E-06,2015AJ....149..180O,DDO 221,,,,,,,,,,,,,,,,,
1,,-121,1,-0.000408,4.00E-06,2015AJ....149..180O,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,-121,2,-0.000407,7.00E-06,2004AJ....128...16K,WLM,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,21-cm HI line,-119,4,-0.0004,1.30E-05,1991RC3.9.C...0000d,MCG -03-01-015,235923.2,-154343,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
4,,-121,4,-0.000407,1.30E-05,2020MNRAS.497.4795I,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,Optical,-74,5,-0.00025,1.70E-05,1992CORV..C...0000F,MCG -03-01-015,235923.1,-154343,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1955AJ.....60..254H
6,Optical,-77,20,-0.00026,6.70E-05,1956AJ.....61...97H,WLM,235923,-1544.1,B1950,estimated error,Optical,Long-slit spectrum,Both absorption and emission lines,Features measured in single-screw engine,Unspecified non-systemic redshift,,Heliocentric velocity or redshift,,,,,"From new, raw data",
7,Optical lines,-74,21,-0.00025,7.00E-05,1991RC3.9.C...0000d,MCG -03-01-015,235923.2,-154343,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
8,,-124,,-0.000417,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
9,,-123,,-0.000414,,2017MNRAS.466.4159I,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,,-121,,-0.000407,,2013AJ....145..101K,WLM,158.1,-152740,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
11,,-121,,-0.000407,,2014MNRAS.443.1281K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,-121,,-0.000407,,2015MNRAS.450.4207B,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,-121,,-0.000407,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,-121,,-0.000407,,2018A&A...609A..11K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,-107,,-0.00036,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,-107,,-0.00036,,2013AJ....146...86T,WLM,158.2,-152739.3,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,-77,,-0.00026,,2009ApJ...696..385G,WLM,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,-0.000368667,2.44E-05,,,,,,,,,,,,,,,,,,,
