No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1571,1,0.00524,3.00E-06,2014MNRAS.440..696A,NGC 4321,,,,,,,,,,,,,,,,,
1,,1571,1,0.00524,3.00E-06,1995AJ....109.2444R,MESSIER 100,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,1571,1,0.00524,3.00E-06,2014MNRAS.440..696A,Messier 100,122254.9,154920.6,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,21-cm,1574,1,0.00525,5.00E-06,2005ApJS..160..149S,UGC 07450,122254.9,154919,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
4,21-cm HI line,1586,3,0.00529,1.00E-05,1991RC3.9.C...0000d,UGC 07450,122023.3,160600,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
5,21-cm,1571,5,0.005241,1.70E-05,2006HIPAS.C...0000:,HIPASS J1222+15,122256.5,154930,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
6,Optical lines,1579,10,0.005267,3.30E-05,1991RC3.9.C...0000d,UGC 07450,122023.3,160600,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
7,,1571,15,0.00524,5.00E-05,2013ApJ...770..107C,SN 2006X HOST,122255.05,154912.7,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,Optical,1578,15,0.005264,5.00E-05,1992CORV..C...0000F,NGC 4321,122023.2,160600,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1973ApJ...186..807v
9,,1568,20,0.00523,6.70E-05,1985AJ.....90.1681B,VCC 0596,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,Optical,1545,25,0.005154,8.30E-05,1992CORV..C...0000F,NGC 4321,122023.2,160600,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1980ApJ...238..471R
