No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1112,0,0.00371,1.00E-06,2013A&A...557A.130M,NGC 3982,,,,,,,,,,,,,,,,,
1,,1112,0,0.00371,1.00E-06,2013A&A...557A.130M,UGC 06918,115628.13,550730.8,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,1113,3,0.003713,1.00E-05,2012MNRAS.426..296D,2MASX J11562816+5507313,115628.15,550731.15,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,,1113,4,0.003714,1.20E-05,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,,1113,4,0.003713,1.30E-05,2016A&A...595A.118V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,21-cm HI line,1109,6,0.003699,2.00E-05,1991RC3.9.C...0000d,UGC 06918,115352.3,552410,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
6,Optical features,1126,6,0.003755,2.10E-05,2004SDSS3.C...0000:,SDSS J115628.13+550730.9,179.117203,55.125237,J2000,uncertainty,Optical,Fiber-optic feed,Emission lines,Individual line fitting,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
7,,1077,12,0.003593,4.10E-05,2015ApJS..218...10V,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,Optical,945,25,0.003152,8.30E-05,1992CORV..C...0000F,NGC 3982,115352.3,552410,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1978AJ.....83..904S
9,Optical,1184,39,0.003949,1.30E-04,2000UZC...C......0F,UZC J115628.1+550730,115628.1,550730,J2000,uncertainty,Optical,,Both absorption and emission lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
10,Optical lines,924,44,0.003082,1.47E-04,1991RC3.9.C...0000d,UGC 06918,115352.3,552410,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
11,,1118,47,0.003728,1.58E-04,2022MNRAS.515.4953T,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,1117,48,0.003726,1.62E-04,2022MNRAS.515.4953T,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,Optical features,1043,311,0.003478,0.001038,2004SDSS3.C...0000:,SDSS J115628.13+550730.9,179.117203,55.125237,J2000,uncertainty,Optical,Fiber-optic feed,Absorption lines,Cross-correlation fit to template spectrum,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
14,Optical,906,,0.003022,,1992CORV..C...0000F,NGC 3982,115352.3,552410,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1983MNRAS.202...53K
15,,1051,,0.003506,,2014MNRAS.445..630P,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,1102,,0.003676,,2016MNRAS.460..689R,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,Optical,1104,,0.003683,,1992CORV..C...0000F,NGC 3982,115352.3,552410,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1982Afz....18..523V
18,,1108,,0.003696,,2013A&A...550A.114B,[BEC2010] HRS 074,115628.1,550731,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,1108,,0.003696,,2014A&A...564A..65B,[BEC2010] HRS 074,115628.1,550730.6,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,1109,,0.003699,,2011MNRAS.413..813C,NGC 3982,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,1109,,0.003699,,2013ApJ...768...55P,NGC 3982,115628.1,550731,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,1109,,0.003699,,2015ApJ...799...21S,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,1109,,0.003699,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,1109,,0.003699,,2016ApJ...818L..14D,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,1109,,0.003699,,2016ApJS..226...19F,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
26,,1109,,0.003699,,2018ApJ...855..107G,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
27,,1109,,0.003699,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
