No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,156,2,0.00052,7.00E-06,2004AJ....128...16K,NGC 247,,,,,,,,,,,,,,,,,
1,,156,2,0.00052,7.00E-06,2004AJ....128...16K,NGC 0247,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,Optical,156,4,0.00052,1.30E-05,1991ApJS...75..935d,ESO 540- G 022,4440,-2102,B1950,estimated error,Optical,,Both absorption and emission lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,Averaged from previously published data,
3,21-cm HI line,159,4,0.00053,1.30E-05,1991RC3.9.C...0000d,ESO 540- G 022,4440,-210200,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
4,Optical,-27,35,-0.000093,1.17E-04,1956AJ.....61...97H,NGC 0247,4430,-2102,B1950,estimated error,Optical,Long-slit spectrum,Emission lines,Features measured in single-screw engine,"Redshift is for non-nuclear emission nebula(e.g., H II region, planetary nebular)",,Heliocentric velocity or redshift,,,,,"From new, raw data",
5,,156,,0.00052,,2013AJ....146...86T,NGC 0247,4708.6,-204537.6,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
6,,156,,0.00052,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
7,,156,,0.00052,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,,156,,0.00052,,2019ApJ...872..134Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
9,,159,,0.00053,,2022ApJ...933...47C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,,159,,0.000531,,2017ApJ...838..149A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
11,,160,,0.000534,,2008ApJ...676..184T,PGC 002758,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,161,,0.000537,,2013AJ....145..101K,NGC 0247,4708.3,-204536,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,0.000477615,3.14E-05,,,,,,,,,,,,,,,,,,,
