No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1209,1,0.004033,2.00E-06,2005ApJS..160..149S,NGC 4725,,,,,,,,,,,,,,,,,
1,21-cm,1209,1,0.004033,2.00E-06,2005ApJS..160..149S,UGC 07989,125026.6,253001,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.
2,,1205,3,0.004019,1.00E-05,2013MNRAS.428.1790W,HIJASS J1250+25,125023.64,253027.1,J2000,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,21-cm HI line,1206,3,0.004023,1.00E-05,1991RC3.9.C...0000d,UGC 07989,124759.9,254620,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
4,21-cm,1203,5,0.004012,1.70E-05,2006HIPAS.C...0000:,HIPASS J1250+25,125029.4,252821,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
5,Optical lines,1180,28,0.003936,9.30E-05,1991RC3.9.C...0000d,UGC 07989,124759.9,254620,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
6,Optical,1212,41,0.004043,1.37E-04,2000UZC...C......0F,UZC J125026.5+253001,125026.5,253001,J2000,uncertainty,Optical,,Absorption lines,Cross-correlation fit to template spectrum,Redshift is systemic,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,
7,Optical,1114,65,0.003716,2.17E-04,1956AJ.....61...97H,NGC 4725,124800,2546.5,B1950,estimated error,Optical,Long-slit spectrum,Both absorption and emission lines,Features measured in single-screw engine,Redshift is for nucleus only,,Heliocentric velocity or redshift,,,,,"From new, raw data",
8,,1209,195,0.004033,6.49E-04,2011AJ....142..170H,UGC 07989,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
9,,1209,195,0.004033,6.50E-04,2018ApJ...861...49H,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,,899,,0.003,,2019MNRAS.482.1618C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
11,,899,,0.003,,2022MNRAS.517..962D,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,1188,,0.003963,,2012MNRAS.424.3050W,NGC 4725,125026.7,253003,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,1205,,0.004019,,2008ApJ...676..184T,PGC 043451,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,1205,,0.004019,,2015MNRAS.447.1531C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,1205,,0.00402,,2012A&A...544A..81H,SDSS J125026.57+253002.7,125026.5704,253002.7,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,1205,,0.00402,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,1206,,0.004023,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,1206,,0.004023,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,1206,,0.004023,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,1206,,0.004023,,2019ApJ...872..134Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,1206,,0.004023,,2022ApJ...932...74C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,1206,,0.004023,,2011MNRAS.413..813C,NGC 4725,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,1206,,0.004023,,2013AJ....146...86T,UGC 07989,125026.6,253003.3,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,1206,,0.004023,,2013MNRAS.428.1790W,NGC 4725,125026.58,253002.9,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,1206,,0.004023,,2014ApJS..212...18B,NGC 4725,125026.6,253003,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
26,,1206,,0.004023,,2016ApJS..226...19F,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
27,,1206,,0.004023,,2022ApJ...935...20U,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
28,,1208,,0.004029,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
29,,1208,,0.004029,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
30,,1209,,0.004033,,2019AJ....157..194H,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
31,,1209,,0.004033,,2013ApJ...771...88L,NGC 4725,125026.6126,253002.732,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
32,,1209,,0.004033,,2014A&A...564A..65B,[BEC2010] HRS 263,125026.61,253002.7,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
33,Optical,1213,,0.004046,,1992CORV..C...0000F,NGC 4725,124759.9,254620,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1987ApJ...318..161S
34,Optical,1218,,0.004063,,1992CORV..C...0000F,NGC 4725,124759.9,254620,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1972AJ.....77....4C
35,,1409,,0.0047,,2018MNRAS.474.1909F,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,0.003976139,1.79E-04,,,,,,,,,,,,,,,,,,,
